UTME    UTMN    DICT
323     2775    1103
325     2775    1103
324     2775    1103
324     2776    1103
323     2773    1103
326     2773    1103
324     2774    1103
323     2774    1103
324     2777    1103
323     2777    1103
324     2778    1104
323     2778    1104
323     2780    1104
324     2780    1104
324     2779    1104
323     2779    1104
324     2783    1105
324     2782    1105
323     2783    1105
323     2782    1105
322     2784    1105
322     2783    1105
323     2781    1105
319     2784    1106
321     2783    1106
320     2783    1106
319     2783    1106
320     2784    1106
322     2781    1106
321     2784    1106
319     2782    1106
321     2782    1106
320     2782    1106
322     2780    1106
322     2782    1106
321     2781    1106
321     2780    1106
318     2782    1106
319     2781    1106
320     2785    1106
320     2780    1106
320     2781    1106
325     2778    1107
328     2779    1107
329     2779    1107
326     2780    1107
326     2779    1107
327     2781    1107
325     2779    1107
327     2779    1107
328     2780    1107
325     2780    1107
327     2780    1107
244     2746    1201
247     2746    1201
246     2746    1201
243     2745    1201
242     2746    1201
245     2744    1201
244     2745    1201
244     2744    1201
243     2746    1201
245     2745    1201
239     2746    1201
241     2746    1201
245     2746    1201
240     2746    1201
242     2748    1201
242     2749    1201
244     2747    1201
243     2748    1201
242     2747    1201
240     2747    1201
241     2749    1201
243     2747    1201
241     2748    1201
241     2747    1201
249     2742    1202
251     2742    1202
247     2744    1202
245     2742    1202
249     2741    1202
244     2741    1202
251     2741    1202
249     2744    1202
250     2741    1202
245     2743    1202
246     2741    1202
246     2740    1202
248     2745    1202
249     2743    1202
245     2741    1202
246     2743    1202
246     2745    1202
248     2742    1202
250     2743    1202
245     2739    1202
248     2743    1202
246     2742    1202
251     2743    1202
247     2742    1202
247     2740    1202
246     2744    1202
250     2742    1202
247     2741    1202
247     2743    1202
250     2744    1202
248     2744    1202
249     2745    1202
245     2740    1202
247     2745    1202
241     2734    1203
240     2735    1203
238     2736    1203
238     2737    1203
243     2737    1203
242     2734    1203
237     2736    1203
241     2736    1203
240     2736    1203
237     2737    1203
242     2736    1203
240     2738    1203
242     2735    1203
244     2738    1203
239     2738    1203
241     2738    1203
240     2737    1203
242     2738    1203
239     2737    1203
241     2737    1203
243     2738    1203
241     2735    1203
242     2737    1203
239     2739    1203
241     2743    1203
240     2743    1203
244     2739    1203
242     2745    1203
243     2744    1203
240     2740    1203
241     2739    1203
241     2741    1203
241     2742    1203
243     2742    1203
240     2742    1203
243     2739    1203
244     2742    1203
244     2740    1203
240     2741    1203
242     2742    1203
240     2745    1203
243     2741    1203
242     2741    1203
242     2739    1203
240     2744    1203
239     2740    1203
241     2740    1203
242     2740    1203
242     2743    1203
244     2743    1203
241     2744    1203
243     2743    1203
243     2740    1203
239     2745    1203
241     2745    1203
240     2739    1203
242     2744    1203
216     2671    1701
217     2669    1702
218     2669    1702
218     2671    1702
217     2671    1702
219     2670    1702
219     2671    1702
218     2670    1702
217     2670    1702
215     2670    1703
214     2672    1703
215     2671    1703
216     2670    1703
214     2671    1703
214     2670    1703
214     2668    1704
215     2668    1704
213     2667    1704
216     2668    1704
214     2667    1704
216     2669    1704
213     2668    1704
215     2669    1704
214     2669    1704
217     2672    1705
215     2672    1705
216     2672    1705
215     2673    1705
217     2673    1705
216     2673    1705
218     2672    1705
208     2675    1706
210     2675    1706
209     2675    1706
214     2674    1706
211     2674    1706
211     2673    1706
210     2674    1706
213     2672    1706
212     2675    1706
208     2674    1706
213     2674    1706
207     2674    1706
212     2674    1706
210     2673    1706
215     2674    1706
212     2673    1706
209     2673    1706
209     2674    1706
211     2675    1706
213     2675    1706
213     2673    1706
214     2673    1706
213     2676    1706
209     2677    1706
209     2676    1706
211     2676    1706
213     2677    1706
209     2678    1706
210     2677    1706
211     2677    1706
214     2677    1706
210     2676    1706
208     2677    1706
212     2677    1706
214     2676    1706
212     2676    1706
208     2676    1706
213     2669    1707
210     2669    1707
209     2669    1707
212     2669    1707
211     2669    1707
212     2668    1707
206     2671    1707
208     2671    1707
209     2672    1707
213     2671    1707
207     2672    1707
212     2670    1707
207     2671    1707
208     2670    1707
211     2672    1707
208     2672    1707
208     2673    1707
213     2670    1707
209     2671    1707
212     2672    1707
210     2672    1707
207     2673    1707
210     2670    1707
212     2671    1707
210     2671    1707
209     2670    1707
211     2670    1707
211     2671    1707
206     2672    1707
221     2675    1708
215     2675    1708
223     2674    1708
224     2675    1708
222     2675    1708
226     2675    1708
222     2674    1708
220     2675    1708
228     2674    1708
221     2673    1708
225     2674    1708
223     2673    1708
225     2673    1708
218     2673    1708
226     2674    1708
217     2675    1708
225     2675    1708
227     2675    1708
227     2674    1708
218     2674    1708
219     2675    1708
218     2675    1708
226     2673    1708
224     2674    1708
220     2673    1708
222     2673    1708
224     2673    1708
220     2674    1708
219     2674    1708
228     2675    1708
216     2674    1708
214     2675    1708
216     2675    1708
223     2675    1708
217     2674    1708
227     2673    1708
219     2673    1708
228     2673    1708
221     2674    1708
226     2678    1708
225     2678    1708
227     2676    1708
223     2676    1708
215     2676    1708
226     2676    1708
222     2676    1708
227     2677    1708
217     2676    1708
217     2677    1708
228     2677    1708
225     2677    1708
224     2677    1708
225     2676    1708
215     2677    1708
224     2676    1708
223     2677    1708
216     2677    1708
226     2677    1708
219     2676    1708
228     2676    1708
224     2678    1708
216     2676    1708
169     2540    2101
170     2540    2101
170     2541    2101
169     2541    2101
171     2542    2101
168     2543    2101
170     2544    2101
168     2544    2101
171     2543    2101
169     2543    2101
169     2544    2101
170     2543    2101
169     2542    2101
170     2542    2101
165     2536    2102
164     2539    2102
163     2540    2102
165     2539    2102
166     2540    2102
164     2537    2102
168     2539    2102
164     2535    2102
162     2540    2102
166     2539    2102
165     2537    2102
164     2541    2102
164     2538    2102
167     2540    2102
165     2541    2102
168     2541    2102
166     2541    2102
168     2540    2102
166     2538    2102
166     2537    2102
166     2536    2102
165     2538    2102
167     2539    2102
164     2536    2102
167     2541    2102
164     2540    2102
165     2540    2102
166     2542    2102
165     2542    2102
168     2542    2102
167     2542    2102
165     2545    2103
166     2544    2103
164     2545    2103
166     2543    2103
166     2546    2104
168     2546    2104
167     2545    2104
166     2545    2104
167     2546    2104
169     2545    2104
168     2545    2104
169     2546    2104
167     2544    2105
167     2543    2105
166     2547    2106
156     2547    2106
162     2545    2106
161     2546    2106
165     2546    2106
161     2545    2106
167     2547    2106
163     2546    2106
160     2546    2106
162     2546    2106
168     2547    2106
159     2545    2106
165     2547    2106
160     2545    2106
161     2547    2106
158     2546    2106
164     2547    2106
164     2546    2106
163     2545    2106
163     2547    2106
162     2547    2106
158     2547    2106
159     2546    2106
160     2547    2106
160     2544    2106
157     2547    2106
159     2547    2106
169     2550    2106
165     2548    2106
167     2548    2106
164     2552    2106
161     2549    2106
163     2548    2106
162     2548    2106
166     2548    2106
154     2548    2106
168     2552    2106
164     2550    2106
168     2550    2106
164     2551    2106
153     2549    2106
155     2548    2106
161     2552    2106
157     2550    2106
169     2552    2106
169     2551    2106
168     2548    2106
158     2551    2106
166     2550    2106
157     2552    2106
156     2548    2106
164     2548    2106
167     2551    2106
159     2552    2106
159     2549    2106
161     2550    2106
156     2549    2106
170     2551    2106
158     2550    2106
165     2552    2106
167     2552    2106
167     2549    2106
167     2550    2106
165     2549    2106
171     2551    2106
160     2550    2106
156     2550    2106
157     2551    2106
164     2549    2106
162     2552    2106
159     2548    2106
161     2548    2106
168     2551    2106
166     2549    2106
160     2551    2106
163     2551    2106
158     2552    2106
158     2548    2106
162     2549    2106
156     2552    2106
161     2551    2106
157     2549    2106
160     2552    2106
168     2549    2106
155     2551    2106
165     2550    2106
155     2549    2106
163     2550    2106
159     2550    2106
160     2548    2106
155     2550    2106
159     2551    2106
154     2550    2106
163     2552    2106
163     2549    2106
170     2550    2106
165     2551    2106
162     2550    2106
169     2549    2106
158     2549    2106
154     2549    2106
162     2551    2106
156     2551    2106
166     2551    2106
166     2552    2106
160     2549    2106
157     2548    2106
164     2553    2106
158     2553    2106
162     2554    2106
161     2553    2106
160     2553    2106
163     2553    2106
166     2553    2106
162     2553    2106
165     2553    2106
161     2554    2106
156     2553    2106
157     2553    2106
160     2554    2106
159     2553    2106
163     2541    2107
162     2541    2107
161     2544    2107
164     2544    2107
162     2544    2107
163     2542    2107
162     2543    2107
164     2543    2107
163     2544    2107
163     2543    2107
162     2542    2107
165     2544    2107
161     2543    2107
164     2542    2107
165     2543    2107
196     2595    2201
197     2595    2201
193     2594    2201
194     2595    2201
193     2595    2201
198     2597    2201
193     2596    2201
196     2598    2201
194     2598    2201
197     2596    2201
195     2600    2201
195     2599    2201
197     2598    2201
194     2599    2201
196     2597    2201
193     2598    2201
196     2596    2201
198     2596    2201
194     2596    2201
193     2600    2201
193     2597    2201
192     2600    2201
194     2597    2201
193     2599    2201
196     2599    2201
195     2598    2201
195     2596    2201
197     2597    2201
195     2597    2201
191     2601    2201
193     2601    2201
192     2601    2201
192     2593    2202
191     2595    2202
192     2594    2202
192     2595    2202
191     2594    2202
191     2598    2202
190     2598    2202
191     2597    2202
189     2597    2202
188     2596    2202
191     2596    2202
192     2599    2202
188     2599    2202
187     2598    2202
188     2598    2202
190     2596    2202
189     2598    2202
191     2599    2202
192     2596    2202
191     2600    2202
190     2600    2202
189     2599    2202
187     2596    2202
192     2598    2202
190     2597    2202
192     2597    2202
187     2599    2202
188     2597    2202
189     2596    2202
190     2599    2202
296     2767    3101
293     2766    3101
294     2768    3101
296     2769    3101
297     2768    3101
297     2767    3101
294     2765    3101
292     2764    3101
292     2763    3101
293     2765    3101
295     2769    3101
297     2769    3101
296     2768    3101
295     2768    3101
294     2766    3101
295     2767    3101
294     2767    3101
